,label,industry,year,K_C_V01,K_C_V02,K_C_V03,K_C_V04,K_C_V05,K_C_V06,K_C_V07,K_C_V08,K_C_V09,K_C_V10,K_C_V13,K_C_V14,K_C_V15,K_C_V16,K_C_V17,K_C_V18,K_C_V19,K_C_V20,K_C_V21,K_C_V22,K_C_V23,K_C_V25,K_C_V28,K_C_V29,K_C_V30,K_C_V32,K_C_V33,K_C_V34
3950,POT,Thiết bị và Phần cứng,2019.0,1.860724,0.02257,270.487871,-16033.773819,0.102309,0.214839,0.030295,0.071516,0.401249,0.476215,2.360608,0.858818,6.083374,0.017712,0.516065,-0.029327,5.073162,1.29354,0.772654,0.072047,-4.368953,0.197009,-0.219487,-0.165652,-0.290955,0.090288,-0.123774,-0.410488
3951,POV,Nước & Khí đốt,2016.0,1.952399,0.005986,11.418412,-142.315668,0.071038,0.211437,0.000544,0.001339,0.259967,0.335975,2.462727,0.474885,0.904344,0.106805,8.337233,-0.004351,58.490774,15.982961,0.062496,0.193326,-55.769313,0.017077,,,,,,
3952,POV,Nước & Khí đốt,2017.0,1.963775,0.00334,16.078998,-275.34951,0.136217,0.383806,0.000404,0.000926,0.229625,0.354912,2.292187,0.519218,1.079945,0.098598,5.55922,-0.004358,38.924082,23.090466,0.04326,0.186402,-37.555668,0.025663,1.098799,0.055325,0.413354,-0.033223,0.080292,-0.220611
3953,POV,Nước & Khí đốt,2018.0,1.967031,0.006113,11.00778,-372.955281,0.04754,0.173673,0.003954,0.012293,0.217255,0.27373,3.108855,0.407081,0.68657,0.152437,7.464387,-0.009483,168.062524,36.775253,0.027138,0.248056,-162.844641,0.005938,-0.697192,0.154632,0.313,-0.179089,0.033238,1.392721
3954,POV,Nước & Khí đốt,2019.0,1.969367,0.003389,14.84739,-441.286836,0.16129,0.356176,0.000904,0.001809,0.288098,0.452838,2.002382,0.556467,1.254624,0.031153,6.36066,-0.004336,34.511663,19.321162,0.051653,0.159636,-33.521918,0.028917,3.47378,-0.151399,-0.079063,0.748607,-0.050785,-0.490715
3955,POW,Điện,2016.0,1.865923,0.06032,69.842356,-106046.999045,0.047995,0.180726,0.066985,0.258388,0.154829,0.265569,3.857379,0.61572,1.602266,0.014561,0.822919,-0.00665,8.429429,2.613028,0.382698,0.054244,-7.299236,0.118632,,,,,,
3956,POW,Điện,2017.0,1.83431,0.092139,110.311256,-197491.05566,0.05832,0.25644,0.037407,0.163411,0.118209,0.227421,4.368477,0.542384,1.18524,0.021162,0.462628,-0.004753,8.408765,4.148568,0.241047,0.081254,-7.015515,0.118924,0.055697,0.301414,0.014662,-0.336686,0.024622,0.608611
3957,POW,Điện,2018.0,1.862945,0.075603,84.468884,-148247.007467,0.072045,0.274513,0.054814,0.181287,0.136909,0.262445,3.307296,0.538552,1.167093,0.014787,0.559598,-0.007643,7.801578,4.105378,0.243583,0.077034,-6.732329,0.128179,0.184927,-0.090629,0.137097,0.110931,-0.023638,-0.097935
3958,POW,Điện,2019.0,1.854764,0.088088,87.641358,-134674.940516,0.025632,0.088807,0.091269,0.2979,0.162162,0.288625,3.263988,0.470169,0.887394,0.047592,0.630821,-0.01051,24.778988,3.916673,0.255319,0.092245,-21.180175,0.040357,-0.65901,0.147682,0.072767,0.135215,-0.014097,0.261892
3959,PPC,Điện,2016.0,1.915714,0.103311,135.464089,,0.052578,0.090014,0.074195,0.500857,0.419056,0.584106,6.750573,0.509449,1.038525,0.141318,1.207288,-0.011866,10.737587,1.347221,0.742269,0.047584,-9.832563,0.093131,,,,,,
